t 64:62:58:78:24|69:00:34:67:41
t 29:62:51:40:63|88:24:90:20:53
t 39:58:00:77:07|65:78:58:13:00
t 50:01:87:13:08|77:24:57:60:03
t 05:84:93:28:60|56:35:04:11:40
t 56:85:23:50:72|57:26:57:26:16
t 96:17:12:17:22|96:61:69:71:37
t 29:29:23:41:85|55:96:32:59:65
t 54:34:84:62:53|63:32:69:57:72
t 42:23:38:75:48|67:35:11:83:07
t 34:26:70:21:25|59:75:41:11:54
t 34:37:34:93:01|79:98:50:83:05
t 41:13:00:81:48|62:05:76:93:56
t 11:62:42:55:55|43:52:78:24:77
t 32:17:10:18:72|75:13:40:73:96
t 40:31:69:95:12|89:97:90:85:88
t 51:14:53:45:90|59:35:58:44:40
t 03:81:64:05:92|97:92:08:75:29
t 67:27:61:56:49|74:13:40:29:41
t 13:83:15:77:01|59:92:01:24:92
t 47:87:70:98:86|75:84:27:28:70
t 06:63:21:03:04|40:89:71:10:63
t 05:50:32:18:04|91:13:19:42:64
t 64:71:48:84:47|98:22:03:39:75
t 46:12:45:75:13|85:19:62:69:78
t 23:01:70:18:08|45:40:65:44:89
t 27:23:03:01:63|70:87:52:72:32
t 28:65:15:69:00|37:43:88:47:43
t 58:21:60:08:42|88:81:49:63:09
t 49:90:46:88:54|67:48:20:30:43
t 48:24:29:53:38|85:26:35:83:36
t 25:11:26:18:55|44:66:57:59:23
t 13:75:42:64:15|84:96:49:01:55
t 05:04:29:73:06|26:72:48:96:42
t 65:93:75:12:26|94:14:41:36:36
t 41:30:31:15:55|82:38:36:52:56
t 53:93:34:62:50|90:86:37:11:25
t 33:62:08:52:16|56:03:34:03:54
t 09:13:17:24:48|58:18:80:00:28
t 03:64:61:55:50|61:02:09:43:76
t 69:31:23:02:20|74:53:82:48:89
t 71:19:08:59:78|92:04:81:45:03
t 22:89:98:13:85|34:61:10:37:38
t 00:58:69:37:69|15:93:59:61:08
t 55:15:17:64:71|88:12:39:30:15
t 41:51:15:80:74|84:10:85:54:82
t 73:98:10:79:15|89:56:32:77:88
t 00:78:84:28:63|23:90:41:08:13
t 25:68:95:53:67|33:71:74:85:71
t 09:98:50:29:76|49:16:80:86:93
t 21:64:79:28:67|26:16:16:26:05
t 40:64:81:87:66|64:21:62:21:86
t 24:73:02:15:09|31:23:62:45:41
t 07:02:18:68:06|30:36:12:81:07
t 45:54:52:96:93|90:56:84:09:14
t 04:22:58:39:14|31:12:91:48:08
t 38:79:69:52:95|98:59:66:18:23
t 25:37:92:46:22|58:33:62:96:86
t 98:07:02:58:47|99:78:00:92:30
t 15:40:82:48:52|97:36:67:62:75
t 16:51:28:97:18|29:58:25:49:30
t 54:61:92:75:55|62:47:60:40:20
t 15:75:63:38:69|88:46:14:46:98
t 34:28:15:75:21|62:57:64:05:70
t 10:25:33:50:23|30:69:49:24:61
t 49:91:64:14:36|93:78:37:36:37
t 37:04:37:05:35|68:08:70:64:23
t 52:73:52:85:81|72:96:26:76:94
t 43:19:74:40:49|65:19:89:41:11
t 15:50:16:85:05|74:93:66:64:09
t 31:58:68:72:61|89:73:95:00:09
t 74:22:10:26:68|91:82:52:10:79
t 02:64:74:64:95|21:72:74:60:55
t 05:89:77:47:22|54:43:50:94:95
t 15:08:67:62:12|28:39:72:12:81
t 04:34:59:23:08|06:45:58:19:86
t 21:47:74:56:32|87:92:67:00:66
t 76:18:82:23:48|83:76:31:22:83
t 69:77:86:24:25|90:56:82:11:20
t 27:28:83:96:91|68:68:77:34:43
t 03:12:97:71:26|85:08:45:08:27
t 01:13:43:37:38|49:50:11:28:50
t 65:81:69:54:92|72:34:93:13:67
t 77:42:01:30:72|81:64:02:70:77
t 10:42:27:69:95|79:23:37:23:90
t 60:13:58:51:28|70:87:26:58:82
t 03:18:41:34:28|72:10:42:86:83
t 57:81:38:65:67|61:58:98:14:50
t 86:86:75:65:35|89:78:07:56:63
t 28:48:30:60:33|35:66:40:33:92
t 82:92:37:99:10|94:44:69:52:28
t 35:32:47:52:08|49:43:97:64:08
t 12:00:89:41:15|33:74:51:23:48
t 44:31:78:80:19|97:90:54:00:91
t 11:52:93:92:38|83:25:99:87:40
t 85:97:40:34:60|92:91:05:40:29
t 71:79:78:49:10|97:20:93:73:77
t 49:59:89:18:59|78:82:90:76:26
t 07:70:03:77:08|67:08:80:72:24
t 19:11:22:74:96|83:63:90:56:61
t 15:60:96:62:13|54:41:52:32:16
t 17:40:84:87:32|98:80:36:99:04
t 49:82:41:70:06|95:21:05:58:23
t 29:07:50:77:58|79:78:78:16:96
t 08:93:65:84:99|53:76:78:95:81
t 48:22:73:91:55|68:14:29:43:72
t 77:46:44:86:51|91:74:16:29:17
t 52:40:57:49:15|91:93:46:12:69
t 62:26:87:51:36|97:80:94:83:55
t 47:11:40:78:78|78:61:13:65:65
t 50:89:75:70:45|82:14:65:33:49
t 22:67:96:32:07|87:31:41:10:82
t 51:38:21:79:05|59:76:46:08:47
t 55:86:66:22:89|77:53:60:14:28
t 21:52:06:97:55|82:31:61:03:48
t 47:55:21:81:96|74:76:35:18:24
t 22:53:74:98:59|32:53:88:43:35
t 50:78:26:80:47|63:55:99:61:01
t 73:45:61:73:16|87:81:53:50:74
t 72:65:43:10:99|81:76:12:81:29
t 31:65:20:89:32|72:05:71:90:47
t 48:78:06:93:58|97:96:66:71:06
t 09:88:29:94:20|15:17:78:69:84
t 28:06:68:84:26|85:99:90:18:97
t 71:10:20:99:86|80:18:85:15:13
t 31:74:27:60:07|86:44:87:67:31
t 06:77:04:11:37|85:93:68:71:52
t 42:00:13:22:68|89:55:88:38:37
t 82:01:17:93:61|87:84:93:81:47
t 81:64:21:25:95|84:04:53:65:47
t 13:11:68:80:80|93:43:56:06:72
t 63:79:33:31:40|68:79:16:51:68
t 65:95:36:53:59|76:80:35:20:74
t 40:05:32:02:56|59:08:71:25:55
t 80:08:02:97:36|80:62:85:62:75
t 40:93:58:76:40|80:97:73:74:46
t 55:07:00:72:35|68:81:88:41:66
t 12:09:25:96:15|42:43:62:55:36
t 18:48:12:22:21|90:50:14:17:68
t 03:95:69:59:35|91:05:99:79:40
t 33:53:52:81:61|83:53:42:87:29
t 63:44:18:14:20|70:69:64:52:29
t 26:87:94:47:05|90:79:40:23:76
t 21:45:71:10:88|78:55:89:83:70
t 79:35:88:33:96|87:35:62:06:79
t 01:65:62:90:93|34:69:67:07:05
t 63:72:44:38:18|97:45:98:57:71
t 90:23:01:64:28|92:97:27:01:04
t 21:63:01:63:71|95:10:45:21:65
t 15:51:12:22:41|82:79:38:93:55
t 45:07:22:54:08|54:39:90:44:38
t 24:78:25:23:04|94:23:33:30:81
t 05:45:87:46:30|63:38:89:50:16
t 24:30:09:97:35|72:20:74:37:08
t 19:82:75:84:06|56:61:34:55:93
t 18:25:36:67:83|79:79:84:32:41
t 01:60:95:56:91|37:77:19:28:37
t 75:80:36:32:93|90:19:74:84:07
t 87:89:91:72:74|90:29:51:41:76
t 63:53:93:39:90|79:76:05:03:81
t 26:93:21:15:39|83:98:68:39:95
t 34:43:23:91:78|99:81:28:38:22
t 02:07:02:49:43|37:91:46:87:41
t 62:90:16:00:13|82:77:10:26:35
t 38:60:66:95:22|63:74:05:89:60
t 25:67:45:11:88|47:63:42:89:67
t 26:23:99:17:02|36:70:51:48:03
t 31:05:56:67:58|31:56:75:19:62
t 88:03:91:44:95|91:72:19:50:15
t 57:85:78:54:00|69:42:75:33:83
t 50:03:90:93:33|90:11:71:22:33
t 52:47:58:41:38|90:83:02:79:58
t 35:95:22:68:02|99:94:42:61:08
t 13:80:45:69:47|41:57:42:78:88
t 69:02:03:62:04|73:85:61:10:64
t 18:49:44:44:30|49:74:52:29:54
t 70:73:52:63:65|98:69:11:47:31
t 34:63:88:22:43|53:79:52:03:98
t 76:16:77:80:51|92:11:40:22:50
t 62:83:57:35:79|98:48:15:20:78
t 17:88:86:41:73|22:70:20:62:02
t 49:67:98:92:17|81:19:32:89:65
t 07:64:72:30:52|89:31:28:30:03
t 10:90:81:28:95|43:59:36:71:77
t 30:93:37:33:40|61:03:82:93:74
t 03:40:17:90:23|51:97:07:62:90
t 40:01:65:51:86|45:59:61:83:66
t 58:50:83:97:09|71:87:81:75:21
t 05:18:61:30:00|38:79:04:99:87
t 14:81:35:98:60|98:22:59:28:40
t 46:61:96:93:67|55:76:38:70:38
t 01:26:65:55:33|58:52:60:71:17
t 03:37:33:93:92|73:48:93:59:34
t 27:68:94:11:90|47:79:48:89:98
t 43:23:99:36:49|98:75:69:31:49
t 66:04:93:16:67|85:34:61:54:31
t 11:30:69:48:67|92:84:23:08:53
t 04:43:27:90:14|58:06:95:74:99
t 26:75:64:18:40|47:89:09:58:89
t 40:12:66:03:89|86:41:95:76:70
t 81:55:86:50:90|85:83:87:09:51
t 24:62:77:02:28|28:85:32:72:65
t 21:78:45:60:65|25:83:78:89:46
t 01:34:36:75:51|34:73:27:20:55
t 56:90:74:10:37|82:45:35:80:71
t 37:12:73:18:25|92:17:62:05:98
t 31:03:46:47:39|45:29:58:39:15
t 38:80:73:72:62|75:72:45:99:94
t 77:03:08:42:97|82:78:01:34:25
t 38:39:78:36:69|75:77:63:26:21
t 16:84:95:48:02|62:61:00:81:24
t 44:84:93:07:37|68:43:58:21:59
t 29:72:15:23:64|91:41:57:19:77
t 41:93:52:00:59|57:36:15:15:41
t 24:98:27:48:29|38:85:33:74:24
t 09:84:29:62:70|24:00:85:23:78
t 67:65:12:05:93|90:04:84:77:07
t 18:86:98:42:90|34:85:21:91:34
t 54:76:97:24:21|68:93:27:08:69
t 19:00:38:02:66|56:39:84:90:18
t 54:27:20:74:39|87:14:78:32:08
t 02:42:98:41:88|09:56:46:04:21
t 60:42:42:85:04|86:33:61:08:33
t 15:34:91:63:13|87:78:43:20:61
t 07:24:70:38:51|59:11:12:61:56
t 12:13:90:41:58|89:01:51:84:07
t 02:72:93:60:55|51:66:73:43:76
t 51:92:07:29:03|69:61:32:28:75
t 72:19:70:92:53|83:40:05:94:07
t 14:47:54:71:71|60:38:07:09:62
t 66:39:70:32:56|87:66:89:29:23
t 05:53:60:83:22|29:87:86:59:91
t 60:33:66:54:52|88:56:45:17:42
t 07:53:20:14:98|76:67:38:31:19
t 07:42:22:16:69|30:93:47:60:63
t 26:14:76:43:17|92:71:20:34:17
t 51:00:12:00:75|64:93:66:54:64
t 44:34:72:85:61|89:77:43:79:76
t 64:23:30:57:08|88:46:04:63:61
t 18:81:37:46:74|23:32:91:92:11
t 17:79:00:91:69|98:30:61:91:61
t 36:41:95:14:17|73:09:53:28:67
t 57:30:02:85:67|83:16:69:03:81
t 38:64:45:77:71|87:66:10:67:81
t 11:92:15:47:71|80:71:53:05:57
t 89:04:86:98:77|90:20:75:30:40
t 18:10:88:44:31|19:09:27:59:19
t 49:06:93:30:58|53:96:00:16:79
t 28:71:29:46:33|54:94:60:72:54
t 61:29:70:85:33|66:88:21:41:59
t 06:62:82:08:60|38:87:97:79:78
t 34:17:57:09:33|66:95:40:83:69
t 43:93:58:35:53|94:40:51:66:93
t 37:92:92:17:95|51:97:12:74:37
t 40:44:86:09:28|89:10:96:13:30
t 92:93:20:69:82|94:07:27:14:62
t 81:62:95:03:64|93:13:11:13:05
t 24:68:48:09:46|33:27:35:54:11
t 17:77:27:62:40|58:00:00:42:40
t 27:22:23:37:95|31:30:35:54:76
t 28:85:21:93:53|80:54:11:11:29
t 34:40:31:75:52|70:71:55:00:43
t 39:48:34:86:40|52:62:12:96:65
t 01:82:50:70:56|48:57:64:87:31
t 31:44:32:99:93|66:26:50:04:75
t 41:43:23:01:38|63:59:18:95:80
t 13:54:88:29:28|77:79:66:69:79
t 23:92:15:02:37|48:53:23:48:72
t 10:02:81:65:93|11:08:08:97:95
t 23:65:05:56:28|84:05:53:15:69
t 85:33:40:45:78|85:33:94:68:00
t 10:56:32:81:48|35:06:01:82:72
t 03:71:95:33:68|43:37:27:71:60
t 12:34:79:11:42|58:34:61:30:93
t 88:43:91:06:26|93:24:84:19:27
t 67:82:94:24:35|89:86:46:05:27
t 00:42:03:77:56|78:59:50:37:40
t 16:95:43:25:11|41:68:06:04:15
t 23:13:25:98:35|39:96:57:18:12
t 22:43:46:94:86|47:58:55:80:11
t 13:27:73:90:70|41:50:72:96:54
t 24:13:25:46:41|93:94:03:95:29
t 07:00:60:34:25|41:79:40:87:67
t 11:39:93:43:03|17:17:93:92:21
t 50:48:78:28:25|53:23:54:44:92
t 05:86:71:38:04|61:26:46:47:36
t 46:17:66:91:19|51:67:28:56:99
t 28:01:97:44:99|67:12:21:87:93
t 18:44:20:62:96|41:68:68:04:42
t 03:95:14:49:59|84:74:84:19:25
t 63:14:37:51:32|83:17:90:19:51
t 68:24:97:37:48|69:86:52:84:18
t 04:14:77:93:69|71:82:93:48:27
t 90:99:90:98:92|93:11:95:43:84
t 14:74:49:74:93|33:65:18:69:73
t 08:63:52:11:38|20:31:45:88:49
t 22:38:82:47:57|58:21:68:71:06
t 50:18:23:51:45|56:89:06:06:23
t 10:06:91:36:97|43:44:80:51:13
t 04:24:27:85:14|05:49:78:45:41
t 02:55:27:17:56|11:79:98:68:86
t 10:75:90:58:89|12:50:96:89:32
t 52:85:70:76:53|77:36:72:29:22
t 28:16:16:72:93|35:01:51:97:51
t 39:96:38:25:11|58:02:26:56:44
t 77:08:86:21:88|80:49:47:79:28
t 19:26:62:28:45|31:85:47:91:77
t 09:69:54:84:06|16:65:45:21:56
t 75:88:86:05:49|77:90:35:97:60
t 55:87:30:77:43|89:54:00:53:82
t 04:54:07:97:99|40:10:08:15:88
t 13:92:99:85:37|29:51:83:82:12
t 08:68:10:68:57|83:64:00:33:37
t 92:56:83:69:01|99:84:37:32:41
t 20:10:12:87:40|77:97:15:63:35
t 49:75:34:24:86|78:33:53:34:74
t 04:92:24:84:12|73:62:13:55:22
t 06:17:37:50:22|97:53:22:60:84
t 47:85:98:90:99|57:36:05:97:31
t 55:96:25:92:84|95:28:42:38:28
t 24:09:46:05:93|53:67:06:37:42
t 09:06:39:65:54|61:36:75:99:92
t 12:27:13:18:47|90:30:41:09:96
t 66:23:86:15:34|93:16:37:36:44
t 18:25:85:90:00|85:77:44:71:49
t 41:08:29:06:68|70:16:80:36:25
t 04:36:28:47:84|40:11:64:23:00
t 41:66:83:04:50|56:88:06:45:70
t 32:90:91:55:74|99:78:57:66:07
t 02:62:46:34:07|67:90:17:96:58
t 14:06:95:26:39|22:76:79:86:50
t 44:12:38:70:57|64:76:12:01:79
t 56:43:00:80:61|90:08:39:47:61
t 07:19:18:79:52|13:75:77:47:84
t 36:39:42:71:09|58:29:34:01:21
t 65:32:38:05:02|98:04:97:69:36
t 16:40:82:13:71|27:23:79:81:16
t 38:64:83:71:51|59:13:89:19:88
t 74:01:59:84:12|95:49:14:59:33
t 52:77:16:41:22|67:10:38:91:65
t 39:22:24:87:55|68:34:04:48:41
t 18:45:41:33:37|76:74:68:72:41
t 40:44:81:66:24|56:46:52:74:15
t 05:27:76:96:34|91:65:41:91:18
t 16:17:00:59:71|57:05:64:24:43
t 32:46:75:66:02|52:03:45:46:89
t 49:84:53:26:01|70:25:46:05:50
t 32:23:93:95:36|92:76:10:96:56
t 50:52:95:90:50|84:60:61:36:15
t 06:82:50:34:29|82:17:90:84:36
t 01:25:88:16:66|93:21:82:50:10
t 80:95:93:54:38|83:45:20:67:38
t 29:17:83:39:89|32:90:33:96:65
t 52:00:13:79:53|63:18:51:61:45
t 17:76:54:07:13|31:66:64:29:11
t 10:62:64:58:57|87:55:22:98:42
t 46:65:80:65:46|94:64:42:97:40
t 06:00:15:70:84|11:33:96:02:06
t 21:88:79:19:48|54:75:45:15:67
t 52:09:97:97:92|97:59:22:58:71
t 36:20:20:99:99|85:53:15:12:84
t 07:08:79:81:69|44:08:67:99:41
t 26:75:49:06:59|28:84:74:07:24
t 04:93:07:38:68|49:14:81:45:46
t 36:79:97:33:43|41:55:17:97:05
t 52:30:54:33:55|54:70:88:79:04
t 14:60:75:80:31|86:15:01:76:72
t 31:70:18:42:47|81:38:90:57:38
t 28:02:02:63:72|33:90:81:19:61
t 06:45:47:98:21|44:77:94:86:22
t 30:68:53:37:23|64:85:40:47:83
t 06:76:42:01:18|56:12:58:66:55
t 12:70:23:84:02|95:50:11:75:50
t 87:45:84:48:92|98:83:01:20:88
t 71:59:58:43:62|83:41:32:72:16
t 46:97:05:83:39|98:16:76:15:88
t 20:87:17:75:69|73:89:35:42:30
t 81:86:77:73:80|85:79:45:22:85
t 21:52:85:48:96|86:83:35:35:13
t 19:88:36:82:60|98:78:65:92:36
t 47:76:11:86:96|64:02:45:02:21
t 20:70:57:72:39|91:98:80:59:54
t 33:67:91:10:60|90:75:99:36:75
t 66:95:42:15:67|86:03:72:56:76
t 26:98:37:86:56|40:08:65:85:64
t 49:30:25:06:38|52:12:54:14:60
t 17:38:13:79:79|39:69:91:45:21
t 08:08:53:47:70|81:73:62:65:08
t 63:89:66:29:15|72:31:59:41:71
t 36:44:50:55:99|68:70:88:66:14
t 23:13:27:06:78|73:61:73:27:71
t 13:95:95:26:53|63:17:87:02:34
t 19:79:52:23:33|96:05:59:70:06
t 71:65:85:93:26|99:87:71:07:44
t 57:59:90:57:53|92:52:15:96:19
t 01:28:35:13:59|19:86:65:09:86
t 16:74:43:95:74|78:31:56:69:68
t 71:22:85:11:24|83:38:74:95:57
t 31:83:22:95:58|80:90:00:32:03
t 18:58:02:05:08|56:28:20:61:57
t 67:82:92:32:13|94:87:74:58:20
t 46:14:64:64:83|67:63:55:25:90
t 18:80:19:31:92|91:79:20:48:28
t 14:35:20:18:59|25:26:08:87:66
t 60:34:56:47:56|89:94:78:08:51
t 44:02:01:19:72|89:90:94:76:24
t 23:69:27:16:86|37:27:09:39:23
t 36:44:15:14:99|52:58:76:78:69
t 15:33:74:82:88|16:88:15:37:46
t 24:16:62:56:56|49:72:84:42:29
t 55:59:52:65:16|75:02:82:26:96
t 13:33:21:22:99|24:43:54:44:17
t 08:22:01:85:74|75:60:73:93:17
t 08:93:77:72:29|88:91:20:26:95
t 16:37:76:22:54|53:89:12:90:03
t 02:02:22:99:79|38:34:29:54:69
t 18:07:03:53:48|72:34:63:26:74
t 61:79:95:37:33|76:07:61:59:44
t 28:72:92:45:72|29:35:35:11:96
t 26:20:24:96:20|49:58:56:32:16
t 77:04:64:38:88|91:74:45:83:06
t 49:24:42:11:25|52:23:04:42:53
t 55:28:46:90:35|79:81:09:41:04
t 12:32:92:83:02|90:05:47:61:99
t 28:39:28:59:69|56:40:78:71:80
t 10:25:45:44:48|64:15:80:16:98
t 82:93:79:72:26|87:05:33:36:05
t 18:64:65:38:32|38:96:08:32:99
t 18:49:69:62:44|69:59:45:38:78
t 03:61:43:58:67|04:03:26:86:90
t 00:52:65:30:66|96:47:23:68:00
t 58:60:28:24:79|97:68:86:73:17
t 35:11:70:62:69|52:34:12:67:25
t 17:87:54:67:45|60:50:64:11:90
t 15:73:88:42:65|86:69:88:37:79
t 19:21:40:09:30|54:11:20:26:81
t 36:99:57:84:93|65:05:57:50:29
t 17:53:13:17:19|70:92:94:49:34
t 34:72:54:76:62|91:53:05:60:77
t 52:45:93:50:16|59:44:61:21:47
t 07:18:39:85:66|99:32:50:54:68
t 16:92:98:35:20|58:59:16:29:82
t 06:77:80:42:71|70:57:35:99:83
t 18:52:03:86:95|60:78:28:85:35
t 26:85:64:49:01|93:38:41:37:57
t 61:81:96:09:35|73:68:93:33:96
t 31:99:23:84:39|87:50:06:42:49
t 38:06:58:00:83|67:88:23:69:40
t 70:56:98:29:23|85:58:66:20:63
t 19:69:75:90:46|19:88:83:96:75
g
t 37:41:91:94:58|58:54:45:97:41
t 38:36:75:32:00|84:13:85:80:58
t 48:49:70:81:36|70:26:85:27:53
t 37:73:35:99:77|71:33:17:31:51
t 34:16:28:00:67|42:44:31:29:76
t 23:81:40:57:99|99:39:49:31:41
t 26:45:63:99:75|35:89:83:24:01
t 73:24:52:92:17|83:70:45:95:24
t 43:70:68:55:40|80:14:65:56:30
t 11:08:24:58:58|99:90:28:17:67
t 00:12:90:70:80|11:82:84:75:64
t 36:26:44:68:06|65:38:88:92:66
t 52:59:46:47:12|66:57:10:56:71
t 36:29:43:74:74|48:25:45:70:50
t 01:34:58:16:63|82:74:15:55:61
t 64:24:00:76:37|75:00:24:82:39
t 51:29:25:95:37|75:06:44:94:88
t 74:45:07:58:95|79:19:84:90:71
t 55:71:53:57:22|66:32:20:56:38
t 39:28:29:25:89|54:48:90:94:27
t 39:43:82:90:56|48:18:30:92:17
t 26:35:92:31:33|93:69:27:93:01
t 17:61:16:80:42|21:66:45:20:07
t 70:91:06:82:82|71:63:43:95:15
t 28:22:52:21:67|81:12:17:35:92
t 53:99:24:29:30|83:64:41:94:51
t 13:77:88:44:20|49:53:02:58:02
t 23:38:90:75:58|23:58:05:01:95
t 09:30:26:41:87|74:31:43:35:20
t 09:75:71:00:02|90:36:22:94:30
t 23:45:60:55:88|33:82:54:52:15
t 47:43:87:59:42|98:88:68:89:84
t 44:82:71:46:47|60:13:07:79:80
t 49:53:36:48:42|90:51:25:23:88
t 24:75:62:46:39|77:81:03:85:78
t 16:94:70:48:50|72:15:38:26:29
t 28:67:21:62:52|89:82:59:29:65
t 61:03:22:85:32|66:40:35:19:86
t 45:65:13:70:61|72:32:50:41:96
t 10:99:14:04:96|21:70:28:10:20
t 44:71:35:52:69|51:95:61:82:30
t 72:58:10:83:66|84:52:14:06:95
t 75:41:21:12:05|82:67:11:25:90
t 35:29:84:74:68|79:50:93:87:83
t 24:92:11:05:60|59:01:60:16:50
t 07:55:48:40:56|25:00:67:23:09
t 19:25:79:70:19|36:82:60:91:49
t 07:24:31:01:09|88:69:83:01:25
t 67:11:24:97:51|70:34:24:63:64
t 28:55:79:40:65|39:60:27:32:61
t 04:48:48:37:66|75:33:21:65:48
t 54:62:47:14:41|84:21:58:54:76
t 43:89:29:37:29|80:56:16:66:88
t 66:28:82:52:36|87:20:84:01:04
t 83:79:58:93:72|94:96:97:23:87
t 33:24:53:32:20|72:03:20:53:01
t 28:26:68:90:66|67:80:32:65:57
t 10:27:40:10:03|33:49:03:44:79
t 18:51:99:65:61|63:87:93:82:27
t 21:72:57:64:78|38:58:03:58:81
t 52:19:41:34:43|98:60:67:56:22
t 05:93:11:11:62|71:98:60:51:81
t 00:35:84:94:42|88:50:23:55:55
t 48:32:17:10:39|89:48:19:95:10
t 37:23:95:51:71|84:34:07:00:49
t 32:51:51:37:62|96:04:41:12:77
t 05:28:45:78:26|94:28:45:38:65
t 42:95:53:92:27|99:01:12:57:49
t 42:55:76:49:67|73:47:15:03:48
t 31:69:37:49:65|78:52:68:53:70
t 29:86:95:81:56|89:52:59:78:31
t 08:72:54:38:58|11:03:47:71:56
t 92:35:45:61:88|99:05:07:19:74
t 14:12:67:54:99|67:03:67:76:32
t 12:54:77:93:29|99:47:26:89:31
t 29:82:91:03:57|87:12:36:74:89
t 02:32:54:97:83|46:96:52:61:27
t 69:02:43:32:23|95:81:24:76:45
t 35:99:37:89:82|50:99:52:54:79
t 19:05:77:04:90|49:71:93:45:32
t 68:22:28:28:50|84:51:84:74:85
t 27:60:46:50:59|74:81:89:15:37
t 46:18:61:21:33|58:46:61:63:50
t 46:02:45:71:94|86:60:53:54:20
t 35:13:16:35:19|36:70:65:18:92
t 73:01:26:05:15|82:12:44:46:25
t 49:00:57:23:14|91:90:93:80:06
t 38:35:48:52:74|68:02:62:85:22
t 00:92:72:37:62|91:70:81:19:43
t 50:19:86:82:99|79:85:14:84:45
t 31:69:96:25:99|88:08:16:85:93
t 63:88:51:98:77|98:37:70:02:14
t 62:67:41:05:53|72:18:95:81:55
t 35:18:65:43:23|45:21:38:70:94
t 22:29:66:31:24|54:92:99:99:37
t 10:92:75:18:56|49:22:28:32:61
t 39:25:44:75:38|77:78:48:26:77
t 51:07:51:47:48|81:66:40:40:21
t 03:09:77:57:10|54:74:23:40:76
t 48:99:85:06:69|84:16:58:73:30
t 68:64:87:10:22|91:83:04:31:73
t 57:09:23:79:94|72:23:77:85:41
t 09:17:49:35:28|91:90:65:67:43
t 12:76:04:38:69|97:20:09:93:91
t 20:42:94:89:40|42:59:00:28:62
t 71:86:64:46:86|88:45:74:66:43
t 50:14:85:57:46|81:04:54:27:49
t 32:12:43:73:32|83:89:68:39:83
t 07:79:48:35:39|12:45:95:87:09
t 43:40:01:54:30|72:23:77:12:18
t 24:76:06:39:02|57:20:86:85:83
t 16:99:35:37:52|75:21:06:67:90
t 05:82:29:31:84|58:47:65:92:20
t 42:70:23:89:62|72:69:80:96:82
t 51:82:29:54:77|74:55:36:51:15
t 04:76:01:37:69|25:95:97:61:73
t 18:60:29:62:85|24:62:09:79:73
t 43:15:75:82:74|61:84:68:32:46
t 51:89:66:86:72|98:76:94:33:04
t 17:84:68:33:04|96:66:14:16:64
t 41:96:10:48:73|55:20:89:66:91
t 25:71:81:51:48|30:09:54:73:28
t 48:53:39:91:38|97:90:77:54:67
t 36:62:89:73:56|41:85:39:88:29
t 03:84:89:06:82|81:47:60:20:67
t 43:92:32:62:60|92:40:11:23:63
t 03:56:86:45:76|12:49:19:70:43
t 17:93:11:05:23|38:78:08:98:64
t 12:36:44:39:01|16:90:14:27:43
t 34:37:33:28:35|83:01:40:33:74
t 59:63:22:71:77|66:48:82:68:40
t 06:71:58:27:90|55:70:34:01:05
t 03:75:30:99:07|73:64:88:94:39
t 64:87:80:58:48|78:70:52:13:13
t 55:32:59:37:37|77:49:16:04:66
