c anaerobes
d 1571
d 386
d 256
d 594
d 37
d 1285
d 505
d 1594
d 1880
d 1457
d 5
d 855
d 542
d 479
d 831
d 966
d 860
d 1103
d 450
d 1496
d 1362
d 1590
d 1749
d 291
d 1041
d 1756
d 1522
d 525
d 1833
d 1501
d 980
d 1569
d 941
d 750
d 360
d 748
d 1024
d 1436
d 854
d 1752
d 1355
d 434
d 1131
d 1409
d 1029
d 1556
d 145
d 932
d 458
d 1060
d 1650
d 79
d 1174
d 1598
d 1063
d 989
d 460
d 1023
d 1700
d 1850
d 1750
d 1495
d 1834
d 417
d 1320
d 148
d 48
d 1247
d 525
d 1307
d 82
d 1585
d 840
d 1089
d 316
d 169
d 287
d 166
d 592
d 905
d 12
d 347
d 1289
d 270
d 1733
d 1084
d 1210
d 1282
d 885
d 1506
d 398
d 1760
d 1463
d 193
d 1189
d 244
d 283
d 858
d 851
d 402
d 1011
d 213
d 731
d 1178
d 1544
d 159
d 29
d 1283
d 177
d 101
d 532
d 1027
d 1010
d 878
d 840
d 1726
d 981
d 369
d 1111
d 1515
d 181
d 1654
d 229
d 58
d 396
d 1462
d 1260
d 837
d 159
d 1376
d 687
d 520
d 1259
d 1748
d 840
d 1427
d 178
d 110
d 1196
d 1435
d 1738
d 1296
d 1495
d 1185
d 1237
d 445
d 1679
d 1225
d 1202
d 154
d 788
d 1084
d 532
d 53
d 561
d 1515
d 1228
d 656
d 4
d 1723
d 339
d 28
d 684
d 292
d 208
d 1577
d 139
d 1034
d 1071
d 875
d 221
d 38
d 375
d 866
d 1707
d 991
d 5
d 890
d 864
d 1576
d 1229
d 1224
d 670
d 1471
d 153
d 762
d 1528
d 804
d 968
d 130
d 1517
d 221
d 1656
d 640
d 238
d 1194
d 1631
d 241
d 1110
d 1340
d 550
d 888
d 1402
d 1049
d 940
d 290
d 1649
d 852
d 905
d 94
d 113
d 426
d 1162
d 1239
d 363
d 1412
d 396
d 843
d 520
d 1433
d 619
d 1498
d 1012
d 868
d 1310
d 496
d 1519
d 714
d 1664
d 509
d 1109
d 1419
d 592
d 1054
d 175
d 1292
d 248
d 791
d 320
d 112
d 18
d 1400
d 1278
d 1356
d 1348
d 327
d 1052
d 294
d 823
d 1608
d 1493
d 1342
d 906
d 1069
d 996
d 317
d 1324
d 842
d 169
d 587
d 458
d 1146
d 242
d 1494
d 629
d 765
d 1476
d 22
d 1215
d 812
d 1558
d 1395
d 1480
d 722
d 1143
d 345
d 816
d 802
d 540
d 554
d 1311
d 607
d 1417
d 1159
d 489
d 505
d 385
d 1453
d 859
d 848
d 1522
d 1207
d 725
d 658
d 229
d 265
d 1244
d 490
d 621
d 967
d 43
d 1343
d 792
d 1444
d 1202
d 328
d 662
d 689
d 1282
d 349
d 345
d 633
d 463
d 684
d 545
d 342
d 475
d 1260
d 1400
d 490
d 1426
d 905
d 1514
d 489
d 378
d 1465
d 390
d 1454
d 45
d 330
d 283
d 1473
d 113
d 819
d 1442
d 813
d 576
d 1012
d 1278
d 1382
d 1348
d 865
d 1474
d 211
d 1133
d 331
d 939
d 817
d 620
d 707
d 1061
d 566
d 610
d 664
d 966
d 597
d 861
d 1377
d 1279
d 698
d 434
d 570
d 576
d 514
d 1380
d 61
d 726
d 1364
d 291
d 943
d 229
d 400
d 269
d 724
d 951
d 731
d 1441
d 866
d 770
d 82
d 1077
d 347
d 1516
d 74
d 794
d 1293
d 1306
d 1395
d 429
d 359
d 985
d 752
d 1248
d 16
d 225
d 479
d 1234
d 1240
d 1338
d 514
d 1219
d 690
d 902
d 1164
d 1263
d 425
d 1246
d 874
d 1364
d 1375
d 1219
d 1458
d 474
p
d 976
d 1355
d 673
d 115
d 647
d 825
d 224
d 355
d 756
d 500
d 1453
d 754
d 994
d 1012
d 1277
d 1179
d 81
d 1466
d 876
d 47
d 744
d 1459
d 431
d 987
d 1434
d 1376
d 785
d 46
d 1377
d 958
d 69
d 382
d 831
d 1108
d 1112
d 124
d 1305
d 754
d 1336
d 314
d 529
d 647
d 799
d 14
d 231
d 922
d 976
d 812
d 1115
d 582
d 283
d 296
d 538
d 745
d 392
d 752
d 731
d 273
d 1
d 726
d 970
d 151
d 147
d 354
d 1327
d 1158
d 975
d 511
d 714
d 633
d 1109
d 587
d 886
d 185
d 722
d 524
d 204
d 1073
d 40
d 1285
d 994
d 95
d 481
d 165
d 973
d 103
d 1306
d 378
d 1141
d 701
d 1106
d 1397
d 1343
d 48
d 414
d 681
d 808
d 639
d 901
d 193
d 447
d 308
d 17
d 494
d 1186
d 562
d 998
d 1349
d 732
d 702
d 474
d 1381
d 1333
d 507
d 852
d 1103
d 370
d 11
d 835
d 947
d 1010
d 994
d 642
d 50
d 1051
d 1243
d 297
d 972
d 167
d 888
d 368
d 284
d 1177
d 796
d 12
d 426
d 383
d 318
d 741
d 401
d 333
d 787
d 1297
d 457
d 98
d 527
d 1139
d 1118
d 243
d 1048
d 129
d 1313
d 470
d 452
d 632
d 118
d 687
d 647
d 1001
d 1255
d 891
d 48
d 1148
d 344
d 1315
d 702
d 930
d 188
d 454
d 1230
d 121
d 407
d 1232
d 991
d 1237
d 708
d 230
d 718
d 290
d 809
d 907
d 706
d 23
d 40
d 1127
d 350
d 344
d 648
d 642
d 877
d 990
d 181
d 1103
d 721
d 189
d 452
d 267
d 702
d 416
d 351
d 1092
d 77
d 60
d 1280
d 429
d 932
d 1130
d 1043
d 997
d 648
d 41
d 344
d 766
d 627
d 899
d 697
d 785
d 410
d 1087
d 1073
d 114
d 729
d 283
d 522
d 565
d 921
d 239
d 721
d 1036
d 1025
d 873
d 712
d 540
d 889
d 73
d 435
d 659
d 443
d 73
d 33
d 361
d 111
d 1256
d 1132
d 965
d 312
d 1048
d 1143
d 402
d 239
d 159
d 953
d 454
d 350
d 420
d 884
d 621
d 272
d 272
d 1143
d 502
d 419
d 589
d 950
d 137
d 271
d 524
d 425
d 1208
d 590
d 438
d 719
d 219
d 316
d 952
d 293
d 62
d 703
d 420
d 636
d 832
d 1127
d 1168
d 167
d 696
d 1038
d 707
d 368
d 1066
d 1124
d 1195
d 1101
d 108
d 228
d 241
d 822
d 1189
d 1119
d 532
d 105
d 845
d 323
d 114
d 348
d 143
d 626
d 456
d 26
d 184
d 850
d 928
d 1157
d 341
d 623
d 308
d 996
d 544
d 805
d 1155
d 225
d 735
d 650
d 287
d 659
d 554
d 470
d 784
d 367
d 652
d 123
d 739
d 908
d 983
d 492
d 979
d 150
d 176
d 953
d 697
d 916
d 79
d 737
d 428
d 948
d 61
d 689
d 1020
d 599
d 476
d 407
d 1107
d 796
d 236
d 529
d 327
d 338
d 730
d 967
d 363
d 414
d 566
d 165
d 791
d 937
d 243
d 189
d 115
d 702
d 1044
d 580
d 95
d 363
d 191
d 170
d 725
d 1
d 44
d 539
d 1091
d 425
d 953
d 512
d 199
d 648
d 1091
d 771
d 697
d 434
d 702
d 991
d 577
d 1079
d 63
d 949
d 796
d 1018
d 467
d 713
d 1087
d 846
d 296
d 505
d 570
d 830
d 291
d 828
d 176
d 936
d 157
d 500
d 939
d 897
d 912
d 557
d 11
d 751
d 924
d 553
d 144
d 506
d 120
d 729
d 64
d 457
d 221
d 827
d 925
d 324
d 111
d 575
d 686
d 706
d 1050
d 480
d 359
d 741
d 544
d 15
d 582
d 268
d 740
d 536
d 519
d 168
d 936
d 382
d 132
d 73
d 788
d 549
d 924
d 163
d 481
d 113
d 211
d 277
d 215
d 140
d 509
d 433
d 142
d 135
d 625
d 498
d 13
d 921
d 974
d 465
d 702
d 52
d 99
d 269
d 31
d 214
d 271
d 613
d 659
d 394
d 926
d 140
d 747
d 161
d 505
d 117
d 966
d 214
d 740
d 182
d 885
d 996
d 369
d 569
d 810
d 556
d 454
d 732
d 19
d 950
d 958
d 978
p
d 638
d 23
d 674
d 696
d 213
d 14
d 110
d 193
d 370
d 630
d 364
d 917
d 668
d 465
d 600
d 46
d 577
d 101
d 928
d 205
d 318
d 646
d 354
d 435
d 587
d 782
d 807
d 899
d 476
d 367
d 942
d 295
d 383
d 325
d 618
d 837
d 625
d 337
d 559
d 324
d 210
d 406
d 112
d 342
d 313
d 230
d 542
d 401
d 557
d 488
d 712
d 17
d 396
d 343
d 808
d 536
d 614
d 399
d 732
d 697
d 111
d 598
d 400
d 689
d 468
d 622
d 156
d 455
d 491
d 461
d 248
d 437
d 237
d 698
d 881
d 571
d 441
d 342
d 423
d 148
d 274
d 861
d 794
d 503
d 681
d 197
d 465
d 624
d 557
d 193
d 145
d 687
d 468
d 379
d 786
d 287
d 887
d 148
d 512
d 735
d 508
d 894
d 515
d 349
d 491
d 670
d 164
d 236
d 256
d 32
d 793
d 672
d 279
d 298
d 760
d 746
d 771
d 72
d 225
d 402
d 839
d 422
d 78
d 688
d 308
d 29
d 756
d 698
d 441
d 413
d 848
d 200
d 793
d 680
d 45
d 707
d 517
d 840
d 697
d 368
d 455
d 8
d 34
d 564
d 835
d 155
d 687
d 244
d 392
d 62
d 422
d 742
d 21
d 156
d 7
d 808
d 728
d 424
d 169
d 474
d 31
d 720
d 824
d 219
d 664
d 211
d 305
d 176
d 373
d 129
d 90
d 779
d 467
d 421
d 352
d 513
d 166
d 793
d 388
d 482
d 45
d 451
d 799
d 310
d 118
d 34
d 169
d 733
d 377
d 234
d 724
d 574
d 479
d 91
d 789
d 583
d 236
d 68
d 497
d 140
d 488
d 50
d 708
d 34
d 651
d 477
d 673
d 750
d 408
d 679
d 285
d 250
d 382
d 290
d 702
d 535
d 780
d 608
d 136
d 528
d 471
d 329
d 453
d 46
d 162
d 389
d 179
d 577
d 242
d 697
d 362
d 62
d 457
d 691
d 758
d 489
d 626
d 502
d 467
d 404
d 541
d 225
d 589
d 536
d 111
d 397
d 689
d 84
d 59
d 227
d 711
d 504
d 349
d 221
d 246
d 43
d 291
d 597
d 378
d 505
d 135
d 495
d 527
d 302
d 207
d 525
d 292
d 3
d 469
d 708
d 699
d 226
d 154
d 312
d 197
d 127
d 386
d 616
d 144
d 690
d 422
d 178
d 226
d 327
d 60
d 86
d 334
d 653
d 197
d 623
d 572
d 62
d 143
d 490
d 52
d 581
d 527
d 192
d 142
d 189
d 77
d 325
d 255
d 81
d 239
d 116
d 355
d 524
d 479
d 324
d 226
d 540
d 675
d 425
d 569
d 669
d 321
d 326
d 12
d 275
d 543
d 559
d 648
d 12
d 384
d 647
d 165
d 139
d 537
d 16
d 41
d 70
d 64
d 46
d 199
d 657
d 129
d 189
d 65
d 355
d 244
d 187
d 252
d 152
d 171
d 2
d 509
d 39
d 352
d 124
d 282
d 222
d 419
d 325
d 126
d 601
d 215
d 504
d 637
d 391
d 48
d 475
d 277
d 59
d 288
d 517
d 605
d 569
d 32
d 545
d 274
d 267
d 441
d 505
d 593
d 270
d 524
d 3
d 328
d 341
d 281
d 376
d 297
d 430
d 228
d 301
d 492
d 410
d 282
d 413
d 147
d 514
d 282
d 77
d 282
d 251
d 0
d 459
d 470
d 546
d 317
d 119
d 503
d 76
d 206
d 208
d 116
d 55
d 167
d 530
d 440
d 210
d 432
d 233
d 380
d 442
d 331
d 352
d 240
d 526
d 148
d 258
d 124
d 323
d 70
d 283
d 337
d 555
d 56
d 282
d 545
d 531
d 451
d 185
d 59
d 207
d 336
d 293
d 315
d 331
d 452
d 266
d 546
d 391
d 131
d 541
d 471
d 154
d 371
d 275
d 125
d 407
d 316
d 400
d 71
d 147
d 130
d 487
d 417
d 439
d 343
d 505
d 385
d 485
d 170
d 78
d 117
d 212
d 431
d 418
d 411
d 145
d 37
d 367
d 515
d 147
d 43
d 7
d 302
d 351
d 408
d 342
d 352
d 485
d 83
d 29
d 300
d 442
d 479
d 312
d 107
d 194
d 369
d 388
d 382
d 263
d 99
d 438
d 337
d 242
p
d 238
d 293
d 326
d 338
d 82
d 235
d 277
d 371
d 104
d 175
d 468
d 193
d 354
d 438
d 176
d 217
d 270
d 30
d 323
d 63
d 320
d 75
d 384
d 197
d 202
d 316
d 229
d 426
d 360
d 34
d 386
d 78
d 248
d 267
d 22
d 5
d 413
d 163
d 293
d 151
d 361
d 200
d 444
d 263
d 52
d 255
d 420
d 387
d 90
d 38
d 216
d 298
d 16
d 74
d 120
d 155
d 189
d 347
d 356
d 77
d 398
d 92
d 387
d 424
d 260
d 214
d 385
d 211
d 172
d 87
d 309
d 378
d 114
d 146
d 295
d 266
d 410
d 411
d 160
d 86
d 396
d 155
d 25
d 228
d 3
d 89
d 185
d 65
d 114
d 372
d 261
d 169
d 375
d 304
d 68
d 47
d 81
d 238
d 184
d 372
d 313
d 39
d 385
d 84
d 56
d 366
d 279
d 305
d 182
d 276
d 235
d 79
d 199
d 227
d 87
d 85
d 33
d 28
d 39
d 282
d 367
d 73
d 373
d 110
d 182
d 53
d 192
d 195
d 357
d 67
d 367
d 367
d 61
d 125
d 301
d 91
d 95
d 114
d 161
d 5
d 215
d 14
d 73
d 73
d 303
d 222
d 55
d 325
d 175
d 131
d 263
d 139
d 123
d 319
d 84
d 211
d 80
d 98
d 189
d 81
d 253
d 205
d 126
d 12
d 4
d 266
d 79
d 108
d 287
d 65
d 282
d 110
d 274
d 237
d 321
d 45
d 317
d 234
d 287
d 58
d 103
d 249
d 191
d 255
d 65
d 100
d 299
d 145
d 222
d 235
d 108
d 245
d 271
d 213
d 23
d 148
d 3
d 68
d 240
d 33
d 237
d 117
d 126
d 91
d 124
d 266
d 104
d 198
d 116
d 168
d 122
d 127
d 243
d 43
d 99
d 203
d 128
d 69
d 146
d 239
d 35
d 53
d 69
d 214
d 36
d 50
d 103
d 31
d 247
d 53
d 26
d 118
d 248
d 250
d 133
d 204
d 21
d 135
d 130
d 229
d 203
d 109
d 25
d 218
d 72
d 121
d 86
d 15
d 159
d 195
d 8
d 198
d 52
d 18
d 124
d 77
d 26
d 40
d 203
d 4
d 50
d 26
d 204
d 143
d 221
d 204
d 83
d 42
d 123
d 95
d 16
d 118
d 172
d 91
d 87
d 147
d 123
d 80
d 89
d 206
d 156
d 45
d 135
d 14
d 197
d 46
d 12
d 173
d 74
d 202
d 162
d 76
d 22
d 83
d 123
d 71
d 159
d 55
d 105
d 45
d 82
d 79
d 65
d 168
d 57
d 135
d 44
d 179
d 137
d 36
d 80
d 133
d 119
d 10
d 54
d 46
d 43
d 161
d 43
d 135
d 104
d 16
d 55
d 62
d 98
d 14
d 62
d 10
d 158
d 22
d 27
d 124
d 0
d 159
d 56
d 79
d 76
d 139
d 34
d 98
d 0
d 117
d 97
d 39
d 115
d 104
d 63
d 126
d 60
d 123
d 96
d 138
d 143
d 38
d 28
d 51
d 111
d 19
d 112
d 1
d 43
d 28
d 30
d 64
d 73
d 117
d 124
d 109
d 117
d 3
d 0
d 71
d 120
d 25
d 75
d 25
d 80
d 20
d 56
d 15
d 89
d 62
d 44
d 111
d 78
d 80
d 6
d 19
d 44
d 18
d 9
d 64
d 84
d 13
d 37
d 57
d 33
d 70
d 7
d 15
d 53
d 93
d 65
d 11
d 40
d 34
d 77
d 67
d 63
d 42
d 20
d 41
d 84
d 64
d 42
d 38
d 39
d 74
d 43
d 53
d 54
d 62
d 4
d 22
d 4
d 52
d 10
d 46
d 36
d 65
d 6
d 40
d 56
d 5
d 52
d 21
d 34
d 31
d 2
d 44
d 55
d 0
d 30
d 27
d 16
d 49
d 15
d 22
d 40
d 48
d 36
d 2
d 17
d 18
d 7
d 36
d 2
d 17
d 27
d 7
d 13
d 0
d 2
d 30
d 23
d 20
d 28
d 14
d 27
d 14
d 12
d 8
d 23
d 4
d 3
d 6
d 10
d 1
d 18
d 0
d 16
d 16
d 16
d 1
d 13
d 6
d 9
d 1
d 8
d 6
d 0
d 5
d 6
d 2
d 1
d 1
d 1
d 0
p
q
